"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_bfnrz",0.6821,1.4534,0.5344,0.3598,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,5.0408
"basis_bfnsa",0.6228,1.3245,0.4836,0.315,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,4.2774
"basis_bfnsx",0.6228,1.3245,0.4836,0.3175,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,4.3564
"basis_bfnsz",0.6228,1.3245,0.4836,0.325,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.5938
"basis_bgaaa",0.6011,1.2184,0.4713,0.3088,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.3587
"basis_bgaax",0.6011,1.2184,0.4713,0.3117,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.4495
"basis_bgaaz",0.6011,1.2184,0.4713,0.3203,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,4.7218
"basis_bgaqa",0.5464,1.1055,0.4248,0.2778,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,3.9549
"basis_bgaqx",0.5464,1.1055,0.4248,0.2804,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.0376
"basis_bgaqz",0.5464,1.1055,0.4248,0.2882,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.2854
"basis_bgara",0.5725,1.1592,0.4469,0.2925,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.1469
"basis_bgarx",0.5725,1.1592,0.4469,0.2953,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.2337
"basis_bgarz",0.5725,1.1592,0.4469,0.3035,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.4932
"basis_bgasa",0.5227,1.0564,0.4045,0.2643,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,3.7794
"basis_bgasx",0.5227,1.0564,0.4045,0.2668,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,3.8584
"basis_bgasz",0.5227,1.0564,0.4045,0.2743,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.0958
"basis_bgkaa",0.6011,1.2184,0.4756,0.3288,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.383
